Date,Open,High,Low,Close,Volume,Adj Close
2003-04-13,1,11000.22,10835.77,5.7633352,5101430000,10897.52

2003-04-10,1,11017.76,10893.89,4.9661992,4086180000,10969.99

2003-04-07,1,11026.75,10880.36,6.3074585,3881620000,10973.55

2003-04-04,1,10983.14,10851.57,6.269172,4006870000,10927.07

2003-04-01,1,10933.19,10802.22,5.9887374,4484340000,10856.63

2003-03-29,1,10968.56,10837.21,5.6885147,4085000000,10907.42

2003-03-26,1,10954.43,10827.91,5.4602625,4375580000,10895.86

2003-03-23,1,10934.85,10801.84,5.8545911,4708420000,10850.36

2003-03-20,1,10985.26,10818.77,4.6588866,5668900000,10841.21

2003-03-17,1,10925.48,10788.77,4.7442993,4705750000,10836.15

2003-03-14,1,10906.06,10752.41,4.9488912,4411640000,10888.83

2003-03-11,1,10836.68,10672.23,4.7973305,4261680000,10785.89

2003-03-08,1,10869.55,10665.35,4.7433806,5212410000,10741.98

2003-03-05,1,10821.49,10686.89,3.8407435,4234510000,10779.17

2003-03-02,1,10787.86,10658.10,6.9504972,4963200000,10733.67

2003-02-27,1,10717.42,10594.16,6.8825069,4369770000,10685.98

2003-02-23,1,10680.32,10540.65,6.5571218,4164110000,10642.15

2003-02-20,1,10690.90,10561.66,6.2106448,4928160000,10624.69

2003-02-17,1,10626.73,10489.87,6.1806886,4669060000,10611.84

2003-02-14,1,10639.05,10502.64,6.4376198,5469120000,10567.33

2003-02-11,1,10637.46,10493.49,5.2409806,5185570000,10564.38

2003-02-08,1,10632.48,10500.90,5.4621077,3774680000,10552.52

2003-02-05,1,10587.13,10445.13,5.7580109,4133000000,10566.20

2003-02-02,1,10484.05,10363.88,5.9876478,3945010000,10444.14

2003-01-30,1,10496.22,10359.58,6.176155,3951320000,10396.76

2003-01-27,1,10493.80,10359.80,5.7656828,4134680000,10405.98

2003-01-24,1,10444.60,10320.05,6.766202,3847640000,10403.79

2003-01-21,1,10391.24,10250.45,6.897233,3945190000,10325.26

2003-01-18,1,10366.60,10155.75,6.697886,4521130000,10321.03

2003-01-15,1,10416.94,10271.61,6.3678054,4168360000,10374.16

2003-01-12,1,10430.16,10239.34,6.1432178,4521050000,10282.41

2003-01-09,1,10468.55,10333.05,6.4087356,3814440000,10383.38

2003-01-06,1,10459.18,10316.50,5.3004755,3944280000,10402.35

