Date,Open,High,Low,Close,Volume,Adj Close
2003-08-13,1,11175.33,10975.66,1.82,6035780000,11134.29

2003-08-10,1,11217.35,11018.59,1.83,5724310000,11124.92

2003-08-07,1,11190.22,11045.80,1.8,5316590000,11117.06

2003-08-04,1,11116.76,10940.60,1.72,6597740000,11092.05

2003-08-01,1,11186.82,10947.55,1.89,8108470400,11018.66

2003-07-29,1,11189.61,11051.31,2.14,5995330000,11144.57

2003-07-26,1,11147.14,11004.61,1.91,5760040000,11123.11

2003-07-23,1,11072.70,10925.86,1.79,5403580000,11019.42

2003-07-20,1,11066.96,10957.22,1.63,4607090000,11005.97

2003-07-17,1,11032.12,10894.19,1.56,4511570000,10997.35

2003-07-14,1,10969.92,10810.15,1.55,4726970000,10927.07

2003-07-11,1,11000.22,10835.77,1.59,5101430000,10897.52

2003-07-08,1,11017.76,10893.89,1.44,4086180000,10969.99

2003-07-05,1,11026.75,10880.36,1.33,3881620000,10973.55

2003-07-02,1,10983.14,10851.57,1.29,4006870000,10927.07

2003-06-29,1,10933.19,10802.22,1.3,4484340000,10856.63

2003-06-26,1,10968.56,10837.21,1.39,4085000000,10907.42

2003-06-22,1,10954.43,10827.91,1.39,4375580000,10895.86

2003-06-19,1,10934.85,10801.84,1.25,4708420000,10850.36

2003-06-16,1,10985.26,10818.77,1.19,5668900000,10841.21

2003-06-13,1,10925.48,10788.77,1.12,4705750000,10836.15

2003-06-10,1,10906.06,10752.41,1.09,4411640000,10888.83

2003-06-07,1,10836.68,10672.23,1.08,4261680000,10785.89

2003-06-04,1,10869.55,10665.35,1.01,5212410000,10741.98

2003-06-01,1,10821.49,10686.89,1.0,4234510000,10779.17

2003-05-29,1,10787.86,10658.10,0.98,4963200000,10733.67

2003-05-26,1,10717.42,10594.16,0.96,4369770000,10685.98

2003-05-23,1,10680.32,10540.65,0.89,4164110000,10642.15

2003-05-20,1,10690.90,10561.66,0.85,4928160000,10624.69

2003-05-17,1,10626.73,10489.87,0.82,4669060000,10611.84

2003-05-14,1,10639.05,10502.64,0.81,5469120000,10567.33

2003-05-11,1,10637.46,10493.49,0.83,5185570000,10564.38

2003-05-08,1,10632.48,10500.90,0.79,3774680000,10552.52

2003-05-05,1,10587.13,10445.13,0.76,4133000000,10566.20

2003-05-02,1,10484.05,10363.88,0.75,3945010000,10444.14

2003-04-28,1,10496.22,10359.58,0.85,3951320000,10396.76

2003-04-25,1,10493.80,10359.80,0.98,4134680000,10405.98

2003-04-23,1,10444.60,10320.05,0.9,3847640000,10403.79

2003-04-19,1,10391.24,10250.45,0.85,3945190000,10325.26

2003-04-16,1,10366.60,10155.75,0.77,4521130000,10321.03

2003-04-13,1,10416.94,10271.61,0.78,4168360000,10374.16

2003-04-10,1,10430.16,10239.34,0.82,4521050000,10282.41

2003-04-07,1,10468.55,10333.05,0.77,3814440000,10383.38

2003-04-04,1,10459.18,10316.50,0.73,3944280000,10402.35

2003-04-01,1,10416.79,10255.58,0.71,3878620000,10392.90

2003-03-29,1,10366.83,10223.16,0.68,4259230000,10309.24

2003-03-26,1,10292.62,10100.81,0.7,4080770000,10268.81

2003-03-23,1,10140.18,9962.13,0.69,4160680000,10099.14

2003-03-20,1,10184.85,9963.19,0.62,4400870000,10144.19

2003-03-17,1,10120.15,9946.26,0.62,4251450000,10038.38

2003-03-14,1,10154.24,9910.28,0.61,5114260000,10058.64

2003-03-11,1,10059.24,9882.85,0.59,4089820000,9908.39

2003-03-08,1,10078.89,9822.84,0.68,6438900000,10012.23

2003-03-05,1,10273.12,9984.35,0.72,5859690000,10002.18

2003-03-02,1,10356.86,10192.03,0.79,4285450000,10270.55

2003-02-27,1,10333.35,10138.75,0.77,4749540000,10296.85

2003-02-24,1,10227.24,10068.99,0.78,4077610000,10185.53

2003-02-21,1,10272.29,10014.35,0.81,5412850000,10067.33

2003-02-17,1,10310.68,10023.80,0.81,5452400000,10120.46

2003-02-14,1,10294.13,10060.98,0.78,5319120000,10236.16

2003-02-11,1,10323.00,10102.17,0.81,4731910000,10194.29

2003-02-09,1,10316.65,10135.95,0.85,4481390000,10196.86

2003-02-05,1,10450.04,10133.15,0.86,6208650000,10172.98

2003-02-02,1,10651.14,10334.18,0.91,6874289600,10389.88

2003-01-30,1,10719.69,10492.36,0.89,4810560000,10603.15

2003-01-27,1,10763.45,10555.47,0.9,4724830000,10725.43

2003-01-24,1,10736.54,10529.09,0.87,4758730000,10609.65

2003-01-21,1,10767.15,10619.02,0.8,3915200000,10710.55

2003-01-18,1,10747.12,10569.07,0.77,4170360000,10680.77

2003-01-15,1,10701.48,10523.35,0.71,4716160000,10627.26

2003-01-12,1,10739.87,10538.91,0.73,4255780000,10663.99

2003-01-09,1,10653.11,10509.74,0.76,4389590000,10618.19

2003-01-06,1,10655.60,10471.73,0.77,5270680000,10606.86

2003-01-03,1,10655.22,10488.28,0.75,4972660000,10573.68

