Date,Open,High,Low,Close,Volume,Adj Close
1973-11-28,0.00,"10,465.19","10,237.84","56,900,323.00",4524570000,"10,424.62"
1973-11-25,0.00,"10,391.78","10,121.81","62,717,151.0",4826900000,"10,322.3"
1973-11-21,0.00,"10,310.04","10,053.85","58,914,304.00",4747180000,"10,120.53"
1973-11-18,0.00,"10,248.2","9,973.17","64,877,513.00",4713280000,"10,229.96"
1973-11-15,0.00,"10,213.09","10,051.28","59,411,465.00",4089500000,"10,154.43"
1973-11-12,0.0,"10,356.2","10,071.63","74,294,212.0",5297350000,"10,097.9"
1973-11-09,0.0,"10,409.49","10,216.04","76,851,301.00",4552470000,"10,359.31"
1973-11-06,0.00,"10,423.03","10,265.16","73,972,942.00",4521050000,"10,366.72"
1973-11-03,0.00,"10,436.2","10,217.55","71,649,414.00",4640460000,"10,363.02"
1973-10-31,0.00,"10,260.62","10,121.13","68,572,218.00",3426990000,"10,216.27"
1973-10-28,0.00,"10,226.48","10,079.05","73,407,830.00",3506570000,"10,198.03"
1973-10-25,0.00,"10,175.02","9,987.02","61,766,845.00",4548460000,"10,138.99"
1973-10-22,0.00,"10,029.93","9,716.38","63,012,616.00",4931220000,"10,018.28"
1973-10-19,0.00,"9,880.76","9,648.26","66,389,836.00",4691240000,"9,743.62"
1973-10-16,0.00,"9,798.19","9,603.8","67,051,384.00",3968500000,"9,686.48"
1973-10-13,0.00,"9,834.71","9,596.04","69,590,307.00",6435770000,"9,732.53"
1973-10-10,0.00,"9,951.47","9,741.07","64,632,355.00",5067080000,"9,774.02"
1973-10-07,0.00,"10,135.72","9,786.45","77,780,379.0",6136700000,"9,870.3"
1973-10-04,0.00,"10,246.82","10,070.12","78,928,090.00",3896410000,"10,138.52"
1973-10-01,0.00,"10,261.1","10,039.97","75,664,811.00",5128840000,"10,143.81"
1973-09-28,0.00,"10,314.31","10,112.6","72,263,657.0",4814830000,"10,152.8"
1973-09-25,0.0,"10,393.89","10,195.81","70,193,784.00",4526150000,"10,298.44"
1973-09-22,0.00,"10,524.78","10,276.14","72,490,525.00",4514380000,"10,293.52"
1973-09-18,0.00,"10,627.19","10,387.54","58,356,702.00",4514360000,"10,442.41"
1973-09-16,0,"10,513.75","10,379.6","62,094,610.00",4555360000,"10,450.64"
1973-09-13,0.00,"10,479.74","10,293.49","65,924,928.00",4557760000,"10,434.17"
1973-09-09,0.00,"10,456.39","10,289.37","65,074,896.00",5002600000,"10,409.46"
1973-09-06,0.0,"10,416.11","10,192.4","66,606,214.00",4644490000,"10,404.77"
1973-09-03,0.00,"10,354.97","10,175.02","61,960,473.00",4425830000,"10,190.89"
1973-08-31,0.00,"10,235.1","10,038.31","72,475,029.00",4059280000,"10,211.07"
1973-08-28,0.00,"10,206.61","9,901.67","75,751,227.00",5144780000,"10,172.53"
1973-08-25,0.00,"10,093.33","9,859.04","72,987,956.00",5983200000,"9,899.25"
1973-08-22,0.00,"9,971.57","9,726.33","69,755,986.00",6192750000,"9,939.98"
1973-08-19,0.00,"10,025.84","9,798.73","68,447,692.00",5467560000,"9,816.49"
1973-08-16,0.00,"10,249.61","9,881.11","70,993,252.00",6180580000,"9,931.97"
1973-08-13,0.00,"10,348.84","10,158.92","57,515,417.00",4995970000,"10,255.28"
1973-08-10,0.00,"10,256.57","10,007.09","60,610,141.00",5026360000,"10,249.54"
1973-08-07,0.00,"10,249.27","9,976.56","64,613,850.00",5271480000,"10,024.02"
1973-08-04,0,"10,293.45","10,078.66","63,346,503.00",4871210000,"10,136.63"
1973-08-01,0.00,"10,279.01","9,971.73","64,845,679.00",5698460000,"10,258.99"
1973-07-29,0.00,"10,211.6","9,937.79","61,926,125.00",4521050000,"9,974.45"
1973-07-26,0.00,"10,061.43","9,756.11","72,813,967.00",7329580000,"10,043.75"
1973-07-23,0.00,"10,235.63","10,028.78","76,817,655.00",5224040000,"10,066.57"
1973-07-20,0.00,"10,225.88","9,860.93","72,864,122.00",5452130000,"10,193.39"
1973-07-17,0.00,"10,440.21","10,042.46","69,488,476.00",8328569600,"10,068.01"
1973-07-14,0.0,"10,558.56","10,306.22","66,430,033.00",6765800000,"10,444.37"
1973-07-11,0.00,"10,760.05","10,463.15","71,318,618.00",6170840000,"10,510.95"
1973-07-07,0.00,"10,707.3","10,424.72","57,019,949.00",5922920000,"10,625.83"
1973-07-05,0.00,"10,780.68","10,509.89","59,364,932.00",6126400000,"10,620.16"
1973-07-02,0.00,"10,952.84","10,752.72","63,884,484.00",4870640000,"10,782.95"
1973-06-28,0.00,"10,941.88","10,725.81","61,956,884.00",5225460000,"10,896.91"
